Gender,Age,Cannabis_Use,Nicotine_Use,Gender_binary,Age_binary,Weight
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,-0.07854,1,1,1,0,0.6992593003898226
-0.48246,0.49788,1,0,1,1,1.288010527074801
0.48246,-0.95197,1,0,0,0,0.9781899758608888
0.48246,0.49788,1,0,0,1,1.8017908173484305
0.48246,2.59171,0,0,0,1,0.44388046970909106
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,1.82213,0,0,1,1,0.8995412066609925
0.48246,-0.07854,1,0,0,0,0.9781899758608888
-0.48246,1.09449,1,0,1,1,1.288010527074801
0.48246,1.82213,1,0,0,1,1.8017908173484305
0.48246,1.82213,0,0,0,1,0.44388046970909106
0.48246,1.82213,0,0,0,1,0.44388046970909106
-0.48246,1.82213,0,0,1,1,0.8995412066609925
0.48246,0.49788,1,0,0,1,1.8017908173484305
-0.48246,1.09449,1,0,1,1,1.288010527074801
-0.48246,1.82213,1,0,1,1,1.288010527074801
-0.48246,0.49788,0,1,1,1,0.8995412066609925
-0.48246,1.09449,1,0,1,1,1.288010527074801
-0.48246,2.59171,0,0,1,1,0.8995412066609925
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,1.09449,1,0,1,1,1.288010527074801
-0.48246,1.82213,0,0,1,1,0.8995412066609925
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,1.82213,0,0,0,1,0.44388046970909106
-0.48246,0.49788,1,0,1,1,1.288010527074801
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,1.09449,1,0,1,1,1.288010527074801
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,0.49788,1,0,1,1,1.288010527074801
-0.48246,-0.95197,0,0,1,0,2.8108115951426536
-0.48246,0.49788,1,0,1,1,1.288010527074801
-0.48246,2.59171,0,0,1,1,0.8995412066609925
-0.48246,0.49788,0,0,1,1,0.8995412066609925
-0.48246,1.82213,1,0,1,1,1.288010527074801
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,2.59171,0,1,0,1,0.44388046970909106
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,0.49788,1,0,1,1,1.288010527074801
-0.48246,0.49788,1,0,1,1,1.288010527074801
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,1.09449,1,0,1,1,1.288010527074801
0.48246,-0.07854,0,0,0,0,1.3870007976031322
-0.48246,0.49788,1,0,1,1,1.288010527074801
-0.48246,1.09449,1,0,1,1,1.288010527074801
0.48246,1.82213,0,0,0,1,0.44388046970909106
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,1.82213,1,0,1,1,1.288010527074801
0.48246,1.82213,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,-0.07854,0,0,0,0,1.3870007976031322
-0.48246,1.09449,1,0,1,1,1.288010527074801
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,-0.07854,0,0,0,0,1.3870007976031322
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,1.09449,1,0,1,1,1.288010527074801
-0.48246,0.49788,0,0,1,1,0.8995412066609925
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,-0.07854,1,0,1,0,0.6992593003898226
-0.48246,0.49788,1,0,1,1,1.288010527074801
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,-0.07854,1,0,1,0,0.6992593003898226
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,2.59171,0,0,0,1,0.44388046970909106
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,0.49788,1,0,1,1,1.288010527074801
-0.48246,0.49788,0,0,1,1,0.8995412066609925
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,2.59171,0,0,0,1,0.44388046970909106
0.48246,1.82213,1,0,0,1,1.8017908173484305
-0.48246,1.82213,0,0,1,1,0.8995412066609925
0.48246,1.82213,0,0,0,1,0.44388046970909106
-0.48246,1.09449,1,0,1,1,1.288010527074801
0.48246,-0.07854,0,0,0,0,1.3870007976031322
-0.48246,0.49788,0,0,1,1,0.8995412066609925
-0.48246,1.82213,0,0,1,1,0.8995412066609925
0.48246,0.49788,1,0,0,1,1.8017908173484305
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,0.49788,1,0,0,1,1.8017908173484305
-0.48246,0.49788,0,0,1,1,0.8995412066609925
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
0.48246,2.59171,0,0,0,1,0.44388046970909106
-0.48246,1.09449,1,0,1,1,1.288010527074801
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,0.49788,1,0,0,1,1.8017908173484305
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,-0.07854,1,0,0,0,0.9781899758608888
-0.48246,-0.07854,1,0,1,0,0.6992593003898226
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,-0.07854,1,0,0,0,0.9781899758608888
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,1.09449,1,0,0,1,1.8017908173484305
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,-0.07854,1,0,1,0,0.6992593003898226
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,1.09449,1,0,0,1,1.8017908173484305
-0.48246,0.49788,1,0,1,1,1.288010527074801
0.48246,-0.07854,1,0,0,0,0.9781899758608888
-0.48246,0.49788,1,0,1,1,1.288010527074801
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,1.82213,0,0,1,1,0.8995412066609925
0.48246,-0.07854,1,0,0,0,0.9781899758608888
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,1.82213,0,0,1,1,0.8995412066609925
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,1.82213,0,1,1,1,0.8995412066609925
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,0.49788,0,0,1,1,0.8995412066609925
-0.48246,0.49788,0,0,1,1,0.8995412066609925
-0.48246,1.09449,1,0,1,1,1.288010527074801
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,1.82213,0,0,1,1,0.8995412066609925
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,1.09449,1,0,0,1,1.8017908173484305
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,0.49788,1,0,0,1,1.8017908173484305
0.48246,-0.07854,1,0,0,0,0.9781899758608888
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
0.48246,-0.95197,0,0,0,0,1.3870007976031322
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,0.49788,1,0,0,1,1.8017908173484305
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,1.09449,1,0,1,1,1.288010527074801
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,-0.07854,0,0,0,0,1.3870007976031322
-0.48246,1.09449,0,0,1,1,0.8995412066609925
-0.48246,-0.95197,1,0,1,0,0.6992593003898226
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,-0.95197,0,0,0,0,1.3870007976031322
-0.48246,1.09449,1,1,1,1,1.288010527074801
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,1.09449,1,0,0,1,1.8017908173484305
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,1.82213,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,0.49788,1,0,0,1,1.8017908173484305
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,-0.95197,0,0,0,0,1.3870007976031322
-0.48246,1.82213,0,0,1,1,0.8995412066609925
0.48246,0.49788,1,0,0,1,1.8017908173484305
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,1.82213,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,-0.95197,1,0,0,0,0.9781899758608888
0.48246,1.82213,0,0,0,1,0.44388046970909106
-0.48246,-0.95197,1,0,1,0,0.6992593003898226
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,1.82213,1,0,0,1,1.8017908173484305
-0.48246,-0.95197,0,0,1,0,2.8108115951426536
0.48246,1.82213,0,0,0,1,0.44388046970909106
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,1.09449,1,0,0,1,1.8017908173484305
0.48246,-0.95197,0,0,0,0,1.3870007976031322
-0.48246,0.49788,1,0,1,1,1.288010527074801
0.48246,0.49788,0,0,0,1,0.44388046970909106
-0.48246,2.59171,0,0,1,1,0.8995412066609925
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,-0.95197,0,0,0,0,1.3870007976031322
0.48246,0.49788,1,0,0,1,1.8017908173484305
0.48246,0.49788,1,0,0,1,1.8017908173484305
-0.48246,-0.07854,0,0,1,0,2.8108115951426536
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,-0.07854,0,0,0,0,1.3870007976031322
-0.48246,0.49788,0,0,1,1,0.8995412066609925
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,-0.95197,1,0,0,0,0.9781899758608888
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,0.49788,1,0,0,1,1.8017908173484305
-0.48246,1.82213,0,0,1,1,0.8995412066609925
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,1.09449,0,0,0,1,0.44388046970909106
-0.48246,-0.95197,1,0,1,0,0.6992593003898226
-0.48246,1.09449,1,0,1,1,1.288010527074801
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,2.59171,0,0,0,1,0.44388046970909106
0.48246,-0.07854,0,0,0,0,1.3870007976031322
-0.48246,1.09449,0,0,1,1,0.8995412066609925
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,-0.07854,0,0,0,0,1.3870007976031322
0.48246,-0.07854,1,0,0,0,0.9781899758608888
0.48246,-0.95197,0,0,0,0,1.3870007976031322
0.48246,1.09449,0,0,0,1,0.44388046970909106
0.48246,0.49788,0,0,0,1,0.44388046970909106
0.48246,-0.07854,1,0,0,0,0.9781899758608888
